maakunta;peat_type;year;drained_peatland_area;proportional_area
1;1;2015;15351.512936;0.333333333335505
1;1;2016;15351.512936;0.333333333335505
1;1;2017;15351.512936;0.333333333335505
1;1;2018;15351.512936;0.333333333335505
1;1;2019;15351.512936;0.333333333335505
1;1;2020;15351.512936;0.333333333335505
1;1;2021;15351.512936;0.333333333335505
1;2;2015;15692.6576676;0.340740740736205
1;2;2016;15692.6576676;0.340740740736205
1;2;2017;15692.6576676;0.340740740736205
1;2;2018;15692.6576676;0.340740740736205
1;2;2019;15692.6576676;0.340740740736205
1;2;2020;15692.6576676;0.340740740736205
1;2;2021;15692.6576676;0.340740740736205
1;4;2015;8528.6182978;0.185185185186874
1;4;2016;8528.6182978;0.185185185186874
1;4;2017;8528.6182978;0.185185185186874
1;4;2018;8528.6182978;0.185185185186874
1;4;2019;8528.6182978;0.185185185186874
1;4;2020;8528.6182978;0.185185185186874
1;4;2021;8528.6182978;0.185185185186874
1;6;2015;6481.7499063;0.140740740741416
1;6;2016;6481.7499063;0.140740740741416
1;6;2017;6481.7499063;0.140740740741416
1;6;2018;6481.7499063;0.140740740741416
1;6;2019;6481.7499063;0.140740740741416
1;6;2020;6481.7499063;0.140740740741416
1;6;2021;6481.7499063;0.140740740741416
1;7;2015;0;0
1;7;2016;0;0
1;7;2017;0;0
1;7;2018;0;0
1;7;2019;0;0
1;7;2020;0;0
1;7;2021;0;0
2;1;2015;16031.864704;0.209606986899655
2;1;2016;16031.864704;0.209606986899655
2;1;2017;16031.864704;0.209606986899655
2;1;2018;16031.864704;0.209606986899655
2;1;2019;16031.864704;0.209606986899655
2;1;2020;16031.864704;0.209606986899655
2;1;2021;16031.864704;0.209606986899655
2;2;2015;36739.689947;0.480349344982733
2;2;2016;36739.689947;0.480349344982733
2;2;2017;36739.689947;0.480349344982733
2;2;2018;36739.689947;0.480349344982733
2;2;2019;36739.689947;0.480349344982733
2;2;2020;36739.689947;0.480349344982733
2;2;2021;36739.689947;0.480349344982733
2;4;2015;10353.9126213;0.135371179038924
2;4;2016;10353.9126213;0.135371179038924
2;4;2017;10353.9126213;0.135371179038924
2;4;2018;10353.9126213;0.135371179038924
2;4;2019;10353.9126213;0.135371179038924
2;4;2020;10353.9126213;0.135371179038924
2;4;2021;10353.9126213;0.135371179038924
2;6;2015;12357.895709;0.161572052397459
2;6;2016;12357.895709;0.161572052397459
2;6;2017;12357.895709;0.161572052397459
2;6;2018;12357.895709;0.161572052397459
2;6;2019;12357.895709;0.161572052397459
2;6;2020;12357.895709;0.161572052397459
2;6;2021;12357.895709;0.161572052397459
2;7;2015;1001.991544;0.0131004366812284
2;7;2016;1001.991544;0.0131004366812284
2;7;2017;1001.991544;0.0131004366812284
2;7;2018;1001.991544;0.0131004366812284
2;7;2019;1001.991544;0.0131004366812284
2;7;2020;1001.991544;0.0131004366812284
2;7;2021;1001.991544;0.0131004366812284
4;1;2015;28393.951444;0.204433497541625
4;1;2016;28393.951444;0.204433497541625
4;1;2017;28393.951444;0.204433497541625
4;1;2018;28393.951444;0.204433497541625
4;1;2019;28393.951444;0.204433497541625
4;1;2020;28393.951444;0.204433497541625
4;1;2021;28393.951444;0.204433497541625
4;2;2015;47893.412073;0.344827586206028
4;2;2016;47893.412073;0.344827586206028
4;2;2017;47893.412073;0.344827586206028
4;2;2018;47893.412073;0.344827586206028
4;2;2019;47893.412073;0.344827586206028
4;2;2020;47893.412073;0.344827586206028
4;2;2021;47893.412073;0.344827586206028
4;4;2015;34893.771653;0.251231527091626
4;4;2016;34893.771653;0.251231527091626
4;4;2017;34893.771653;0.251231527091626
4;4;2018;34893.771653;0.251231527091626
4;4;2019;34893.771653;0.251231527091626
4;4;2020;34893.771653;0.251231527091626
4;4;2021;34893.771653;0.251231527091626
4;6;2015;27025.568241;0.194581280786298
4;6;2016;27025.568241;0.194581280786298
4;6;2017;27025.568241;0.194581280786298
4;6;2018;27025.568241;0.194581280786298
4;6;2019;27025.568241;0.194581280786298
4;6;2020;27025.568241;0.194581280786298
4;6;2021;27025.568241;0.194581280786298
4;7;2015;684.19160105;0.00492610837442325
4;7;2016;684.19160105;0.00492610837442325
4;7;2017;684.19160105;0.00492610837442325
4;7;2018;684.19160105;0.00492610837442325
4;7;2019;684.19160105;0.00492610837442325
4;7;2020;684.19160105;0.00492610837442325
4;7;2021;684.19160105;0.00492610837442325
5;1;2015;14143.911745;0.246987951806324
5;1;2016;14143.911745;0.246987951806324
5;1;2017;14143.911745;0.246987951806324
5;1;2018;14143.911745;0.246987951806324
5;1;2019;14143.911745;0.246987951806324
5;1;2020;14143.911745;0.246987951806324
5;1;2021;14143.911745;0.246987951806324
5;2;2015;26562.956204;0.463855421684622
5;2;2016;26562.956204;0.463855421684622
5;2;2017;26562.956204;0.463855421684622
5;2;2018;26562.956204;0.463855421684622
5;2;2019;26562.956204;0.463855421684622
5;2;2020;26562.956204;0.463855421684622
5;2;2021;26562.956204;0.463855421684622
5;4;2015;10004.2302588;0.174698795182553
5;4;2016;10004.2302588;0.174698795182553
5;4;2017;10004.2302588;0.174698795182553
5;4;2018;10004.2302588;0.174698795182553
5;4;2019;10004.2302588;0.174698795182553
5;4;2020;10004.2302588;0.174698795182553
5;4;2021;10004.2302588;0.174698795182553
5;6;2015;6554.4956868;0.1144578313265
5;6;2016;6554.4956868;0.1144578313265
5;6;2017;6554.4956868;0.1144578313265
5;6;2018;6554.4956868;0.1144578313265
5;6;2019;6554.4956868;0.1144578313265
5;6;2020;6554.4956868;0.1144578313265
5;6;2021;6554.4956868;0.1144578313265
5;7;2015;0;0
5;7;2016;0;0
5;7;2017;0;0
5;7;2018;0;0
5;7;2019;0;0
5;7;2020;0;0
5;7;2021;0;0
6;1;2015;26737.643791;0.16774193548383
6;1;2016;26737.643791;0.16774193548383
6;1;2017;26737.643791;0.16774193548383
6;1;2018;26737.643791;0.16774193548383
6;1;2019;26737.643791;0.16774193548383
6;1;2020;26737.643791;0.16774193548383
6;1;2021;26737.643791;0.16774193548383
6;2;2015;52789.706972;0.331182795699006
6;2;2016;52789.706972;0.331182795699006
6;2;2017;52789.706972;0.331182795699006
6;2;2018;52789.706972;0.331182795699006
6;2;2019;52789.706972;0.331182795699006
6;2;2020;52789.706972;0.331182795699006
6;2;2021;52789.706972;0.331182795699006
6;4;2015;49019.013617;0.307526881721402
6;4;2016;49019.013617;0.307526881721402
6;4;2017;49019.013617;0.307526881721402
6;4;2018;49019.013617;0.307526881721402
6;4;2019;49019.013617;0.307526881721402
6;4;2020;49019.013617;0.307526881721402
6;4;2021;49019.013617;0.307526881721402
6;6;2015;29479.966231;0.184946236558452
6;6;2016;29479.966231;0.184946236558452
6;6;2017;29479.966231;0.184946236558452
6;6;2018;29479.966231;0.184946236558452
6;6;2019;29479.966231;0.184946236558452
6;6;2020;29479.966231;0.184946236558452
6;6;2021;29479.966231;0.184946236558452
6;7;2015;1371.16122;0.00860215053731061
6;7;2016;1371.16122;0.00860215053731061
6;7;2017;1371.16122;0.00860215053731061
6;7;2018;1371.16122;0.00860215053731061
6;7;2019;1371.16122;0.00860215053731061
6;7;2020;1371.16122;0.00860215053731061
6;7;2021;1371.16122;0.00860215053731061
7;1;2015;10477.284301;0.316326530616804
7;1;2016;10477.284301;0.316326530616804
7;1;2017;10477.284301;0.316326530616804
7;1;2018;10477.284301;0.316326530616804
7;1;2019;10477.284301;0.316326530616804
7;1;2020;10477.284301;0.316326530616804
7;1;2021;10477.284301;0.316326530616804
7;2;2015;13181.0996042;0.397959183670635
7;2;2016;13181.0996042;0.397959183670635
7;2;2017;13181.0996042;0.397959183670635
7;2;2018;13181.0996042;0.397959183670635
7;2;2019;13181.0996042;0.397959183670635
